gan_acum,gan_suavizada,envio,celda,semilla
1.375,,25,A,100103
1.75,,50,A,100103
4.125,,75,A,100103
3.5,,100,A,100103
4.875,,125,A,100103
9.25,,150,A,100103
8.625,,175,A,100103
12,17.9,200,A,100103
17.375,20.7625,225,A,100103
21.75,23.935,250,A,100103
25.125,27.105,275,A,100103
34.5,30.3025,300,A,100103
36.875,33.5425,325,A,100103
40.25,36.6425,350,A,100103
42.625,39.8175,375,A,100103
46,43.0575,400,A,100103
49.375,46.1425,425,A,100103
52.75,49.055,450,A,100103
54.125,51.8525,475,A,100103
55.5,54.4975,500,A,100103
55.875,56.7525,525,A,100103
58.25,58.9625,550,A,100103
60.625,61.1625,575,A,100103
63,63.2725,600,A,100103
65.375,65.2325,625,A,100103
67.75,66.94,650,A,100103
69.125,68.62,675,A,100103
72.5,70.2175,700,A,100103
72.875,71.7825,725,A,100103
75.25,73.33,750,A,100103
77.625,74.78,775,A,100103
78,76.1725,800,A,100103
79.375,77.41,825,A,100103
79.75,78.39,850,A,100103
80.125,79.345,875,A,100103
80.5,80.0925,900,A,100103
80.875,80.7775,925,A,100103
82.25,81.3075,950,A,100103
82.625,81.7475,975,A,100103
84,82.1175,1000,A,100103
83.375,82.38,1025,A,100103
82.75,82.645,1050,A,100103
83.125,82.8575,1075,A,100103
83.5,83.1225,1100,A,100103
82.875,83.3825,1125,A,100103
83.25,83.585,1150,A,100103
83.625,83.78,1175,A,100103
83,83.98,1200,A,100103
82.375,84.21,1225,A,100103
83.75,84.535,1250,A,100103
84.125,84.8975,1275,A,100103
84.5,85.2625,1300,A,100103
84.875,85.7675,1325,A,100103
86.25,86.39,1350,A,100103
87.625,87.0025,1375,A,100103
87,87.565,1400,A,100103
88.375,88.2,1425,A,100103
88.75,88.825,1450,A,100103
89.125,89.4425,1475,A,100103
90.5,90.0075,1500,A,100103
91.875,90.525,1525,A,100103
93.25,91.0375,1550,A,100103
92.625,91.4675,1575,A,100103
92,91.83,1600,A,100103
93.375,92.1625,1625,A,100103
93.75,92.4,1650,A,100103
93.125,92.6325,1675,A,100103
93.5,92.835,1700,A,100103
92.875,92.8925,1725,A,100103
93.25,92.805,1750,A,100103
92.625,92.7225,1775,A,100103
93,92.69,1800,A,100103
92.375,92.68,1825,A,100103
91.75,92.5925,1850,A,100103
93.125,92.48,1875,A,100103
92.5,92.4025,1900,A,100103
