celda,semilla,n_excluidos,meses_excluidos,n_train,n_final_train,auc,num_iterations,num_leaves,min_data_in_leaf,feature_fraction,ganancia,envios
A,100103,0,"",27,29,0.93284028,334,64,2048,0.8,92.8925,1715
A,315967,0,"",27,29,0.9316238,207,128,512,0.8,95.2825,1716
A,352357,0,"",27,29,0.93143715,322,64,2048,0.8,92.48,2406
A,403681,0,"",27,29,0.93334666,289,64,1024,0.5,90.855,2096
A,439567,0,"",27,29,0.93179359,287,64,2048,0.5,88.6775,2106
A,539503,0,"",27,29,0.93195578,335,64,2048,0.8,91.8025,1802
A,691787,0,"",27,29,0.93317875,317,64,2048,0.8,94.7625,1635
A,761263,0,"",27,29,0.9315632,253,64,2048,0.5,90.2525,2425
A,778567,0,"",27,29,0.9326825,248,64,2048,0.5,94.2375,2481
A,801137,0,"",27,29,0.93272606,271,64,2048,0.8,97.45,2182
B,100103,2,202003 202004,25,27,0.930872,386,64,2048,0.8,89.69,2347
B,315967,2,202003 202004,25,27,0.9319115,375,64,2048,0.8,93.5825,2169
B,352357,2,202003 202004,25,27,0.93142985,296,128,2048,0.8,93.155,1855
B,403681,2,202003 202004,25,27,0.93106012,303,64,2048,0.8,94.025,2092
B,439567,2,202003 202004,25,27,0.93132139,252,128,2048,0.5,96.3675,2459
B,539503,2,202003 202004,25,27,0.93184925,227,128,2048,0.5,93.56,2300
B,691787,2,202003 202004,25,27,0.93083805,347,64,2048,0.8,94.3375,1757
B,761263,2,202003 202004,25,27,0.93140028,281,64,2048,0.5,94.1025,2215
B,778567,2,202003 202004,25,27,0.93181702,422,64,2048,0.5,95.925,2107
B,801137,2,202003 202004,25,27,0.93189418,321,64,1024,0.5,92.07,2263
C,100103,1,202006,26,28,0.93070336,343,64,1024,0.5,90.8825,2085
C,315967,1,202006,26,28,0.93089516,270,64,2048,0.8,93.0025,1863
C,352357,1,202006,26,28,0.93159354,184,256,1024,0.5,94.6575,1919
C,403681,1,202006,26,28,0.93169931,228,384,2048,0.5,97.5975,2090
C,439567,1,202006,26,28,0.93190486,233,128,2048,0.5,95.195,2130
C,539503,1,202006,26,28,0.93130914,256,64,1024,0.5,91.685,2168
C,691787,1,202006,26,28,0.93125956,190,128,1024,0.5,94.4375,1918
C,761263,1,202006,26,28,0.93154661,286,64,2048,0.5,90.49,1913
C,778567,1,202006,26,28,0.93119162,490,64,2048,0.5,96.015,1940
C,801137,1,202006,26,28,0.93206294,210,384,2048,0.5,94.6075,2108
D,100103,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92822014,193,64,1024,0.8,99.565,2180
D,315967,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92805273,132,128,512,0.8,97.975,1986
D,352357,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92885614,194,64,2048,0.8,98.76,2291
D,403681,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92882745,274,64,2048,0.8,96.52,2386
D,439567,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.9283975,259,64,2048,0.5,100.1325,2476
D,539503,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92881724,200,128,1024,0.8,97.425,2669
D,691787,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92779095,166,128,512,0.8,98.6825,2681
D,761263,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.9284066,303,64,2048,0.8,96.6925,2211
D,778567,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92828174,182,128,512,0.8,97.485,2102
D,801137,10,202003 202004 202005 202006 202007 202008 202009 202010 202011 202012,17,19,0.92904111,180,64,2048,0.8,97.605,2040
