Feature	Gain	Cover	Frequency
ctrx_quarter	0.148145600695752	0.0387548019616104	0.00959984792320122
mcaja_ahorro	0.0553222974018847	0.024797802782254	0.00869689193042486
mtarjeta_visa_consumo	0.0491878918736425	0.0211913312811029	0.00869689193042486
mcaja_ahorro_lag1	0.0315713773120301	0.00558253898647917	0.00551278395589773
mcuentas_saldo	0.0297669705748764	0.0331259291303837	0.0151126318790989
Master_status	0.0294196146909716	0.002171884833791	0.000760383993916928
foto_mes	0.0247353542501543	0.0381938376148832	0.0222412318220701
mcuenta_corriente	0.0228431861610997	0.00762350299691045	0.0117859519057124
cpayroll_trx	0.0211537922526671	0.0224421055622445	0.00484744796122042
ctrx_quarter_lag2	0.018022124254021	0.00378013193293157	0.00499001996007984
ctrx_quarter_lag1	0.0115939941371128	0.00248598130065084	0.00551278395589773
mprestamos_personales	0.0106749797838452	0.0208250205806291	0.00898203592814371
cdescubierto_preacordado	0.0102988400605751	0.00745012201334497	0.00332667997338656
Visa_mfinanciacion_limite	0.00894934013020647	0.0012566200716576	0.00470487596236099
ctarjeta_visa_transacciones	0.00878708456190055	0.0131543673509717	0.00556030795551754
ctarjeta_visa	0.00831339535055749	0.00382288617911592	0.00137819598897443
mprestamos_personales_delta1	0.00810682698819809	0.00959173927869045	0.00470487596236099
mprestamos_personales_delta2	0.00762328410202805	0.0113563709217504	0.00522763995817888
ctrx_quarter_delta1	0.0073297244324241	0.0126920921374192	0.00902955992776352
cdescubierto_preacordado_lag1	0.00707326502076222	9.42805049071413e-05	0.000760383993916928
mpayroll	0.00699324782936512	0.0156662887648535	0.00484744796122042
mpasivos_margen	0.00667970865056652	0.00936274344287605	0.00722364794221082
Visa_status	0.00663035400860807	0.00269764735501985	0.00133067198935462
mpayroll_sobre_edad	0.00647915514022421	0.0173355853186712	0.00489497196084022
ctrx_quarter_delta2	0.00607204208869433	0.0073391245170067	0.00898203592814371
Visa_mpagominimo	0.00600283774889319	0.0114504764388467	0.00841174793270602
Visa_msaldototal	0.00580349088425702	0.00470090382095852	0.0053226879574185
cprestamos_personales_delta2	0.00538922311307017	0.00797542943319516	0.00247124798023002
mprestamos_personales_lag1	0.00537839849991176	0.00170937874278468	0.00232867598137059
mcuentas_saldo_delta2	0.0052396089356798	0.00953034317515614	0.00817412793460698
mrentabilidad_annual_lag1	0.00505319768827365	0.00216419135829177	0.00736621994107024
Master_fechaalta	0.005050262375195	0.00331350265004867	0.00660583594715331
mactivos_margen	0.00501713359332614	0.0115921400500133	0.00879193992966448
Visa_cconsumos	0.00496035969046776	0.00641305508924742	0.00508506795931946
cproductos	0.0046715833013628	0.0218202401345352	0.00670088394639293
cproductos_delta2	0.00461694937431523	0.0149080931947661	0.00446725596426195
ctarjeta_visa_delta2	0.00420696178453492	0.00185833595236193	0.000807907993536736
mrentabilidad_annual_lag2	0.00416453734409975	0.0031516249526465	0.00898203592814371
Visa_mpagominimo_delta1	0.00407982562455883	0.00411330340187456	0.00589297595285619
cdescubierto_preacordado_delta2	0.00404231342962394	0.00585210205351935	0.00223362798213098
ccomisiones_mantenimiento_delta2	0.00392068348889495	0.00320059825231969	0.00346925197224598
mcomisiones_lag2	0.00383813706889006	0.00288881654817384	0.00703355194373158
cliente_edad	0.00373634350447289	0.00390748912619756	0.00836422393308621
Visa_fechaalta	0.00372809722253299	0.0077987290040476	0.00746126794030986
mcuentas_saldo_lag1	0.00369044936714955	0.00329694002048866	0.00613059595095523
mrentabilidad_annual_delta1	0.00360726435059397	0.00928637490319548	0.00703355194373158
cproductos_delta1	0.00359137799986187	0.00447175162721431	0.00332667997338656
mcuenta_corriente_lag2	0.00342768232979641	0.0129389240882304	0.00679593194563254
cliente_edad_lag2	0.00339650195504926	0.00320591442193301	0.00798403193612774
cprestamos_personales_lag1	0.00338700304044762	0.000308943308705243	0.00071285999429712
mtransferencias_recibidas	0.00338369369803692	0.00949227234798408	0.00560783195513734
mcuenta_corriente_lag1	0.00336860743269978	0.00333131148557687	0.00522763995817888
Master_mpagominimo_lag2	0.00334134112576074	0.00157603470418944	0.00199600798403194
cliente_edad_lag1	0.00334099334271895	0.00450856493741902	0.00803155593574755
cliente_antiguedad	0.00333193612325612	0.00609001361809703	0.00684345594525235
mrentabilidad_annual	0.00321778224996966	0.00205818267794357	0.00641573994867408
mprestamos_personales_lag2	0.00321619765716997	0.00187623128376618	0.00289896397680829
Visa_Fvencimiento	0.00320666574773766	0.00144162410490707	0.00622564395019485
numero_de_cliente	0.00320054637269839	0.00275469271598826	0.00845927193232583
Visa_mconsumototal	0.0031601087046174	0.00439962936969548	0.00432468396540253
mcaja_ahorro_delta2	0.00315250542139342	0.0025885188349574	0.00589297595285619
ccomisiones_otras	0.00310329113977008	0.00358036504969706	0.00361182397110541
mcuentas_saldo_delta1	0.00306707075254284	0.0110566600497854	0.00727117194183063
chomebanking_transacciones_delta1	0.0030108113489633	0.00671011719134626	0.00708107594335139
chomebanking_transacciones_delta2	0.00300053910849087	0.00250477219704877	0.00689097994487216
Visa_Fvencimiento_lag1	0.00297856468884512	0.00192242074693596	0.00731869594145043
mactivos_margen_lag1	0.00297119561496945	0.00700097288166124	0.00665335994677312
mactivos_margen_lag2	0.00282395506554546	0.00861318814545435	0.00603554795171562
Master_mfinanciacion_limite	0.00277464320097537	0.00202272003411121	0.00508506795931946
kmes_lag1	0.00272698946494594	0.00155618722739777	0.00242372398061021
Visa_mpagominimo_lag1	0.00272693102935673	0.00318405691405224	0.00456230396350157
mcomisiones_lag1	0.00272577839566604	0.00245062112116396	0.00636821594905427
mpasivos_margen_lag2	0.002717019874332	0.00335164333927448	0.00608307195133542
mttarjeta_visa_debitos_automaticos_delta2	0.00270124696199147	0.00348169255034467	0.00575040395399677
mcomisiones_mantenimiento	0.00269114712842954	0.00569513665652459	0.00603554795171562
chomebanking_transacciones	0.00265937025344326	0.00220557963498724	0.00613059595095523
mcuentas_saldo_lag2	0.00265157833307192	0.00167685429732684	0.00575040395399677
mrentabilidad_delta2	0.00263138441371095	0.00102773801118787	0.00470487596236099
Visa_Fvencimiento_lag2	0.00260803042821466	0.00114636643985345	0.00579792795361658
cprestamos_personales	0.00258440459203143	0.00146338047914814	0.00251877197984982
chomebanking_transacciones_lag1	0.00257454212571912	0.000567940571808055	0.00446725596426195
mrentabilidad_lag2	0.00254054845910838	0.00269558076893487	0.00546525995627792
mttarjeta_visa_debitos_automaticos_lag2	0.00253099705763517	0.00300514551724197	0.00499001996007984
mcuenta_corriente_delta2	0.00252742385049114	0.00990166464826544	0.00579792795361658
mcuenta_corriente_delta1	0.00252315774048499	0.00268774756932815	0.00456230396350157
Visa_msaldototal_lag1	0.00250742138307141	0.00150613605603828	0.00399201596806387
ccomisiones_mantenimiento	0.00247118519035261	0.00255953606294783	0.00199600798403194
ctarjeta_visa_transacciones_delta1	0.00246314303277811	0.006263670723113	0.00451477996388176
Master_Fvencimiento	0.00244951626704387	0.00552239973455933	0.00598802395209581
Visa_fechaalta_lag2	0.00243374646093871	0.00182384006628277	0.0053702119570383
Visa_fechaalta_lag1	0.00241150381806782	0.00247201354737268	0.00556030795551754
Master_Fvencimiento_lag1	0.00240342376796124	0.00181595629985621	0.005940499952476
mtarjeta_master_consumo	0.00238450507497112	0.00468005365735743	0.00280391597756867
ccallcenter_transacciones	0.00238126089785054	0.00642501680355384	0.0041821119665431
mrentabilidad	0.00238094331682496	0.00369607390986912	0.00527516395779869
mrentabilidad_annual_delta2	0.00236056158411697	0.00285084286252412	0.00617811995057504
Master_msaldototal	0.0023444827546904	0.00609034030636738	0.00465735196274118
chomebanking_transacciones_lag2	0.00234253545424711	0.00104497663928694	0.00518011595855907
Visa_mconsumototal_lag1	0.00234157492731333	0.00156606372573822	0.00470487596236099
Master_fultimo_cierre	0.00233854295842011	0.00677195109708402	0.00499001996007984
ccomisiones_mantenimiento_delta1	0.00232687541796735	0.00601389258969257	0.00266134397870925
Visa_msaldototal_delta1	0.0023103951217477	0.00237680420982721	0.00470487596236099
ctarjeta_visa_transacciones_delta2	0.00230468500991824	0.00774272824712086	0.00408706396730349
cliente_antiguedad_lag1	0.00229934301466953	0.00467014389137234	0.00551278395589773
cpayroll_trx_lag1	0.00228114678772713	0.00133244302196609	0.000807907993536736
mcomisiones	0.00225814591571184	0.00130594334695239	0.00570287995437696
mactivos_margen_delta1	0.00225294067246141	0.000536640375672934	0.00508506795931946
mrentabilidad_delta1	0.00224052988398457	0.000623939998029012	0.00384944396920445
Master_Fvencimiento_lag2	0.00223204296528393	0.00366364860199231	0.0053226879574185
mttarjeta_visa_debitos_automaticos_delta1	0.00221928369127998	0.00100477601750508	0.0047523999619808
ctarjeta_visa_delta1	0.00221488585970986	0.000289759854100566	0.00023761999809904
thomebanking	0.00218944383778679	0.00362193629843805	0.00342172797262618
Visa_mpagominimo_delta2	0.00218053051277965	0.00100529565811435	0.00365934797072522
mcomisiones_mantenimiento_delta2	0.00213770769323272	0.000736045972286663	0.00365934797072522
Visa_msaldototal_delta2	0.00212441707742902	0.00185538777369401	0.00518011595855907
Visa_fultimo_cierre_lag2	0.00212091770974169	0.00785850630399377	0.00441973196464214
internet	0.00210995187819418	0.00891880868181304	0.00375439596996483
mtransferencias_recibidas_lag1	0.00210238390991493	0.0111873060824004	0.00456230396350157
Master_fechaalta_lag1	0.00209974068914821	0.000768163221774119	0.00460982796312138
Visa_cconsumos_delta2	0.00209574954491324	0.00693713094089307	0.00437220796502234
mpasivos_margen_lag1	0.00208634739345428	0.00112734732741329	0.00460982796312138
mtarjeta_visa_consumo_delta2	0.00206235248900966	0.00115831152033756	0.00384944396920445
mttarjeta_visa_debitos_automaticos_lag1	0.00203425750743559	0.00213893921995203	0.00432468396540253
mtarjeta_visa_consumo_lag1	0.00202864529654096	0.00122494794325542	0.00270886797832906
mttarjeta_visa_debitos_automaticos	0.00201840941746234	0.00059686146599859	0.00441973196464214
mpasivos_margen_delta1	0.00200610127062582	0.00460457868661186	0.00527516395779869
Visa_mfinanciacion_limite_lag1	0.00199396999651974	0.000858764990537072	0.00451477996388176
Master_fechaalta_lag2	0.00197633598447944	0.000477698093607205	0.00384944396920445
Visa_mconsumototal_lag2	0.00197467897146605	0.000990355158906937	0.00451477996388176
ccomisiones_otras_lag2	0.00197451305390998	0.0248399222817787	0.00546525995627792
mcaja_ahorro_delta1	0.00195043753606345	0.0012047631325471	0.00432468396540253
Visa_cconsumos_delta1	0.00192626840669571	0.00128236723254957	0.00441973196464214
mcomisiones_delta1	0.00192265816650084	0.000822390813241599	0.00441973196464214
Master_mlimitecompra	0.00191417649688698	0.00105667487384783	0.00399201596806387
Visa_fultimo_cierre	0.00188575551645225	0.0026896511439544	0.00441973196464214
Master_mlimitecompra_delta2	0.00187599758829082	0.00114197777217267	0.0047523999619808
mcomisiones_delta2	0.00187423342585645	0.000458329005545442	0.00394449196844406
Master_mfinanciacion_limite_lag1	0.00186719537299777	0.00083235646886968	0.00403953996768368
ccallcenter_transacciones_delta2	0.00185877103286561	0.00504700110054958	0.00370687197034502
mactivos_margen_delta2	0.001857637552961	0.00132288655836707	0.00441973196464214
Master_fultimo_cierre_lag2	0.0018438329993529	0.00143799859699431	0.00384944396920445
mpayroll_delta2	0.00183626235300893	0.00587620446206036	0.00332667997338656
Visa_mfinanciacion_limite_delta2	0.00181926782126356	0.00150554721872817	0.00399201596806387
Visa_cconsumos_lag2	0.00180265545694715	0.000945460472466504	0.00399201596806387
mcaja_ahorro_lag2	0.0017991422699092	0.00283253567767923	0.00389696796882426
mcomisiones_mantenimiento_lag1	0.00179265365362759	0.00168755849466591	0.0041821119665431
Visa_mpagominimo_lag2	0.00178489943682235	0.00216035360280621	0.00403953996768368
Visa_cconsumos_lag1	0.00178358082306268	0.00136055218562743	0.00370687197034502
mpayroll_lag2	0.00176921992734119	0.00223739348355559	0.00242372398061021
cproductos_lag1	0.00175450596038487	0.00225329342163439	0.00346925197224598
ctarjeta_visa_transacciones_lag2	0.00172896503046959	0.000551219588259563	0.00342172797262618
cliente_antiguedad_lag2	0.0016951368432536	0.00200687532032251	0.00384944396920445
mcomisiones_mantenimiento_lag2	0.00167217213510273	0.00175253619282206	0.00441973196464214
internet_lag1	0.00162704057713764	0.012695245910131	0.00327915597376675
ccomisiones_otras_lag1	0.00162387033138772	0.0039046367583462	0.00351677597186579
mrentabilidad_lag1	0.00160018709122111	0.0027961022839763	0.00441973196464214
Visa_mconsumototal_delta1	0.0015964216968241	0.000336347198300235	0.00370687197034502
Visa_mlimitecompra_delta2	0.00158371109126582	0.00133731007837679	0.00403953996768368
mpayroll_sobre_edad_lag2	0.00157739331735915	0.000868509083651857	0.00204353198365174
Master_mfinanciacion_limite_delta2	0.00157137649775517	0.000683416558467645	0.00280391597756867
Visa_msaldototal_lag2	0.0015692537532442	0.00111630712686337	0.0035642999714856
Master_mlimitecompra_lag2	0.00156480151088903	0.00070182953442248	0.00365934797072522
mpasivos_margen_delta2	0.00153094531446148	0.00110307924600198	0.00432468396540253
mtransferencias_recibidas_lag2	0.00153010385636336	0.00205170746359102	0.00327915597376675
Master_mfinanciacion_limite_lag2	0.0014901036034273	0.00243553091755568	0.0035642999714856
ccallcenter_transacciones_delta1	0.00145233693982139	0.00226008201719944	0.00327915597376675
Visa_mlimitecompra_lag2	0.00144286171961292	0.000927513243536615	0.00304153597566771
mtransferencias_recibidas_delta1	0.00144066724053218	0.000764997472710265	0.00351677597186579
Visa_mconsumototal_delta2	0.00143945617125228	0.000718800025305766	0.00370687197034502
Visa_mlimitecompra	0.00143811559861784	0.000796178570677578	0.00346925197224598
ctarjeta_visa_transacciones_lag1	0.00143459315110497	0.000521602734943179	0.00285143997718848
Master_mpagominimo	0.00141271152003643	0.00549225592175186	0.00270886797832906
mtarjeta_visa_consumo_lag2	0.00140269476385581	0.000903602456628725	0.00285143997718848
Visa_status_delta2	0.00139340721027454	0.00116618331041206	0.000570287995437696
Visa_mfinanciacion_limite_lag2	0.00136940034388361	0.000909749652005134	0.00318410797452714
mpayroll_lag1	0.00134119960301595	0.00137890527982192	0.00209105598327155
Master_msaldototal_lag2	0.00133004986903218	0.0161677845353768	0.00318410797452714
Master_mlimitecompra_delta1	0.00132975277340342	0.00153394714160365	0.00313658397490733
mpayroll_sobre_edad_delta2	0.00127407120524783	0.00173634283411754	0.00256629597946963
Master_mpagominimo_delta1	0.00127331312053966	0.00179884209274808	0.00228115198175078
Master_mfinanciacion_limite_delta1	0.00126301403091268	0.000245160584344528	0.0029940119760479
mtarjeta_visa_consumo_delta1	0.00125036382539058	0.00134424837834271	0.00280391597756867
cproductos_lag2	0.00123118237720003	0.00057560344107422	0.00304153597566771
Master_mpagominimo_delta2	0.00122881273407521	0.00274770517990827	0.0029940119760479
Visa_mlimitecompra_lag1	0.00122839763861019	0.000870701421433572	0.00266134397870925
mpayroll_delta1	0.0011955742977016	0.00522575414337136	0.00289896397680829
kmes_lag2	0.00116307016543798	0.000583473900442933	0.0023761999809904
Master_mconsumototal	0.00116196375191316	0.00282146287483756	0.0029464879764281
Master_fultimo_cierre_lag1	0.00114531948317401	0.000635851810868479	0.00323163197414694
Visa_mlimitecompra_delta1	0.0011408917327512	0.00110038988960936	0.00289896397680829
ccomisiones_otras_delta1	0.00113586700510715	0.00909545588272918	0.00275639197794886
kmes	0.001117157554549	0.000435615853844559	0.00275639197794886
mtransferencias_recibidas_delta2	0.00111607870893453	0.000562503973321137	0.00270886797832906
Visa_mfinanciacion_limite_delta1	0.00107517239094476	0.000405694934256175	0.00289896397680829
ccomisiones_otras_delta2	0.00106774050871571	0.00402715018255274	0.0029940119760479
ctarjeta_visa_lag2	0.00106538762504667	0.000298377504767872	0.000332667997338656
ctarjeta_master_transacciones	0.00106086084446029	0.0010051246624209	0.00194848398441213
Master_msaldototal_lag1	0.00105908023684741	0.00309097936717525	0.0023761999809904
Visa_fultimo_cierre_lag1	0.00105373194178113	0.0012758201600846	0.00323163197414694
Master_mlimitecompra_lag1	0.00103290716034417	0.00407081197008285	0.00266134397870925
Master_msaldototal_delta2	0.000997778849490088	0.0028739984738987	0.0023761999809904
thomebanking_delta2	0.000993100287544544	0.000695832708799841	0.00133067198935462
internet_lag2	0.000942480637936095	0.00154350560126135	0.0018059119855527
mpayroll_sobre_edad_delta1	0.000931627945346127	0.00404358706041602	0.00228115198175078
cprestamos_personales_delta1	0.000919242750627469	0.000655633417723767	0.000807907993536736
mcomisiones_mantenimiento_delta1	0.000900991144092541	0.00129920332214851	0.00261381997908944
mpayroll_sobre_edad_lag1	0.000885059887963937	0.000905360318971454	0.00171086398631309
Master_fultimo_cierre_delta1	0.000834654063926144	0.000351660295127602	0.00137819598897443
Master_cconsumos_lag2	0.000796934456275224	0.00221611416733865	0.00194848398441213
Master_msaldototal_delta1	0.00078848221483049	0.00407882348426483	0.00223362798213098
ccallcenter_transacciones_lag2	0.000764393182205403	0.00108674217107262	0.00223362798213098
Master_mconsumototal_lag2	0.000762309978968975	0.000542223351796264	0.00218610398251117
cprestamos_personales_lag2	0.000751673323593822	0.000558075384466784	0.00137819598897443
Master_mconsumototal_lag1	0.000712438973762088	0.000367303406989788	0.00204353198365174
Master_mpagominimo_lag1	0.000704021853443505	0.00258856674036568	0.00185343598517251
Master_mconsumototal_delta2	0.000679743519435646	0.00243937798798174	0.00209105598327155
ctarjeta_master	0.000676174461265264	0.00065141707644221	0.000665335994677312
Master_mconsumototal_delta1	0.000652933564202381	0.000332618560689088	0.00142571998859424
cdescubierto_preacordado_delta1	0.000636021852079574	0.00192881744964716	0.00071285999429712
ccallcenter_transacciones_lag1	0.000632212235646411	0.00130365187158965	0.0018059119855527
Visa_Fvencimiento_delta2	0.000631127130176962	0.000412460242469977	0.00109305199125558
mtarjeta_master_consumo_delta2	0.000588229653081935	0.00154882310158046	0.00142571998859424
