num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.9271845573737	439
64	64	0.8	0.930290265516635	241
64	256	0.5	0.928982000603744	300
64	256	0.8	0.92881036380549	211
64	512	0.5	0.929921106218176	239
64	512	0.8	0.929079667280396	192
64	1024	0.5	0.931347815500235	316
64	1024	0.8	0.930403179409422	310
64	2048	0.5	0.931563196830423	253
64	2048	0.8	0.929873405859386	180
128	64	0.5	0.926870433996453	225
128	64	0.8	0.927255839069282	284
128	256	0.5	0.927217970668504	191
128	256	0.8	0.928665726485682	223
128	512	0.5	0.929019177694974	171
128	512	0.8	0.928091209845477	216
128	1024	0.5	0.929682911672915	256
128	1024	0.8	0.929726733017021	195
128	2048	0.5	0.929966540617892	172
128	2048	0.8	0.930647288491924	237
256	64	0.5	0.926098970947332	193
256	64	0.8	0.928638419758549	265
256	256	0.5	0.927190433504855	147
256	256	0.8	0.924546635358025	230
256	512	0.5	0.928557075668439	128
256	512	0.8	0.927468186318677	146
256	1024	0.5	0.929159974406184	196
256	1024	0.8	0.926754908489819	118
256	2048	0.5	0.929978484910633	225
256	2048	0.8	0.92994630061058	232
384	64	0.5	0.925201843184878	298
384	64	0.8	0.925589667841125	208
384	256	0.5	0.927192661057842	198
384	256	0.8	0.925013422927051	180
384	512	0.5	0.927795329359072	127
384	512	0.8	0.924896975674353	193
384	1024	0.5	0.927634638295323	150
384	1024	0.8	0.927503289481264	165
384	2048	0.5	0.929177333957048	241
384	2048	0.8	0.929412148766742	157
512	64	0.5	0.925294632288611	220
512	64	0.8	0.926212921804441	422
512	256	0.5	0.927190663941371	212
512	256	0.8	0.924442093991982	161
512	512	0.5	0.926420929166119	97
512	512	0.8	0.925349399367221	153
512	1024	0.5	0.927503827166468	166
512	1024	0.8	0.927501599613481	170
512	2048	0.5	0.929177333957048	241
512	2048	0.8	0.929412148766742	157
