Feature	Gain	Cover	Frequency
ctrx_quarter	0.15992407538521	0.0401384511775757	0.0102423852423852
mcaja_ahorro	0.0920821599289851	0.0292975567771098	0.00922350922350922
mcuenta_corriente	0.0401797094198945	0.00872850628498319	0.0107250107250107
mtarjeta_visa_consumo	0.0308730530741836	0.0214073201648955	0.00799013299013299
Master_status	0.0281172913091555	0.00213914476427451	0.000482625482625483
cdescubierto_preacordado	0.0251096650990595	0.00488797927898834	0.00332475332475332
mcuentas_saldo	0.0214813183569886	0.0316172597701321	0.0143715143715144
ctarjeta_visa_transacciones	0.0208662784570984	0.012838678927165	0.00541613041613042
cpayroll_trx	0.020096701488961	0.0230463310792217	0.00530888030888031
Visa_status	0.018030331212572	0.00523252964479833	0.00214500214500214
foto_mes	0.0145531504397537	0.0238193209575246	0.018983268983269
mprestamos_personales	0.0113810396388749	0.0187336392534624	0.0104568854568855
mpayroll	0.00929060578201047	0.0194846120048247	0.00579150579150579
mpasivos_margen	0.00837608279939533	0.00884604252605299	0.00777563277563278
cproductos	0.00757734865025691	0.0270623272767567	0.00691763191763192
cprestamos_personales	0.00743228634694587	0.000903128176403652	0.00203775203775204
ctrx_quarter_delta1	0.00737254807811007	0.0140687623358295	0.0104568854568855
mpayroll_sobre_edad	0.00722617599892599	0.0188062565299055	0.00568425568425568
Visa_msaldototal	0.00715689404886576	0.00623960665279669	0.00568425568425568
mcuentas_saldo_lag1	0.00697555924179605	0.00264591862582383	0.00579150579150579
mcaja_ahorro_lag1	0.00689825447677093	0.00541847883584929	0.00579150579150579
Visa_mpagominimo	0.00686645154637059	0.0153752725822868	0.00900900900900901
ctrx_quarter_delta2	0.00668187140021158	0.00759415575653637	0.00965250965250965
mactivos_margen	0.00525347499471825	0.00962119190994998	0.00884813384813385
mprestamos_personales_delta2	0.00508042981011679	0.0161715887097799	0.00697125697125697
mrentabilidad_annual_lag2	0.00477146190435134	0.00447884814942491	0.00863363363363363
Master_fechaalta	0.00474608157910554	0.00394808567587855	0.00654225654225654
Visa_mconsumototal	0.00469595715610802	0.00656964120896647	0.00466537966537967
ccomisiones_mantenimiento_delta2	0.0045597655527284	0.00309652739805745	0.0037001287001287
ctarjeta_visa_delta1	0.00443352646395921	0.000687955444693619	0.000268125268125268
mcuentas_saldo_delta2	0.00430558661379572	0.00812255197991403	0.00884813384813385
ctrx_quarter_lag1	0.00428533190733843	0.00338557113651758	0.00487987987987988
Visa_mpagominimo_delta1	0.0042317743084584	0.00489640665594919	0.00552338052338052
Visa_cconsumos	0.00419871579541177	0.00946030484234747	0.00487987987987988
cproductos_delta2	0.00410674190405915	0.0123103061088335	0.00402187902187902
numero_de_cliente	0.00407300988375341	0.00201445516092421	0.0095988845988846
cliente_edad	0.00400170397687239	0.00512750730175222	0.00858000858000858
mtransferencias_recibidas	0.00392892258165632	0.00963302784180269	0.00536250536250536
mrentabilidad_annual	0.00384469100822402	0.0021527040876942	0.00697125697125697
mrentabilidad_annual_delta1	0.00376753965222761	0.00762767802401031	0.00713213213213213
mactivos_margen_lag1	0.00373450638401933	0.00580395526540784	0.00654225654225654
mcuentas_saldo_delta1	0.00368189628084265	0.0127611676555659	0.00922350922350922
mrentabilidad_annual_lag1	0.00367545342507276	0.00211590199308238	0.00804375804375805
mprestamos_personales_delta1	0.00357371683947634	0.00768475903079982	0.00396825396825397
cprestamos_personales_delta1	0.00353667554267284	0.00109481316410487	0.000911625911625912
mcuenta_corriente_lag2	0.00349763748800132	0.00899716578855784	0.00632775632775633
mpasivos_margen_lag1	0.00347729325039205	0.00177325601786315	0.00461175461175461
Master_mfinanciacion_limite	0.00346125809498199	0.00183160245748273	0.00563063063063063
mprestamos_personales_lag1	0.00346097603476866	0.00154389670749583	0.00268125268125268
cproductos_delta1	0.0034468891430911	0.00544235744412929	0.00321750321750322
cdescubierto_preacordado_delta2	0.00335347764830565	0.0065327025849186	0.00294937794937795
mrentabilidad_delta2	0.0033478820220393	0.000647049665318411	0.00396825396825397
ctrx_quarter_lag2	0.0033033357720714	0.00201740185623814	0.00455812955812956
cliente_edad_lag2	0.00328192472393267	0.00384542022098266	0.0080973830973831
Master_msaldototal_lag1	0.00326522454975486	0.00353134088479308	0.00305662805662806
internet	0.0031960569727716	0.00701145280450962	0.00343200343200343
Visa_Fvencimiento	0.00314553684498057	0.00173212633021283	0.00723938223938224
mcuenta_corriente_delta2	0.00307735927213334	0.00723601642091487	0.00552338052338052
cliente_edad_lag1	0.00306260632816771	0.00469130433544177	0.00782925782925783
cprestamos_personales_delta2	0.00303701680527688	0.00973128456616667	0.00321750321750322
