numero_de_cliente	clase_ternaria	prob	ganancia	gan_acum	gan_suavizada
27013600	CONTINUA	0.934450369530246	-0.025	-0.025	
42829120	BAJA+1	0.919123673777314	-0.025	-0.05	
34297341	CONTINUA	0.900134050915922	-0.025	-0.075	
56899880	CONTINUA	0.896793337639435	-0.025	-0.1	
49267841	BAJA+2	0.875513924417305	0.975	0.875	
28619210	CONTINUA	0.868630116359255	-0.025	0.85	
22991101	CONTINUA	0.866376641477941	-0.025	0.825	
47193420	CONTINUA	0.857865818343947	-0.025	0.8	
50832990	BAJA+2	0.857150075134349	0.975	1.775	
54610271	CONTINUA	0.853637914965226	-0.025	1.75	
29690021	CONTINUA	0.853609154090322	-0.025	1.725	
41865120	CONTINUA	0.850741777480337	-0.025	1.7	
56418430	CONTINUA	0.844530142734617	-0.025	1.675	
68143260	CONTINUA	0.843848536270102	-0.025	1.65	
38470620	CONTINUA	0.843007457025902	-0.025	1.625	
68531911	CONTINUA	0.842399492414011	-0.025	1.6	
40138991	BAJA+2	0.841647537246554	0.975	2.575	
48743620	CONTINUA	0.836133767303308	-0.025	2.55	
30501220	CONTINUA	0.834169889189145	-0.025	2.525	
38335440	CONTINUA	0.833446069750666	-0.025	2.5	
62098590	CONTINUA	0.830240759656881	-0.025	2.475	
30066770	CONTINUA	0.828922428438774	-0.025	2.45	
61662470	CONTINUA	0.828380718872874	-0.025	2.425	
12624051	CONTINUA	0.820810517074015	-0.025	2.4	
42587401	CONTINUA	0.818081370232611	-0.025	2.375	
43812761	CONTINUA	0.813295770976323	-0.025	2.35	
56716470	CONTINUA	0.812564864735015	-0.025	2.325	
52076901	CONTINUA	0.810945511895678	-0.025	2.3	
57148841	CONTINUA	0.808646355295594	-0.025	2.275	
44772050	CONTINUA	0.807853922836126	-0.025	2.25	
21357771	CONTINUA	0.8072754164409	-0.025	2.225	
29086750	CONTINUA	0.80399992836693	-0.025	2.2	
33624741	CONTINUA	0.799041231573793	-0.025	2.175	
23605590	CONTINUA	0.795787722521069	-0.025	2.15	
68416071	CONTINUA	0.793013928016395	-0.025	2.125	
56482980	CONTINUA	0.787484610738014	-0.025	2.1	
12306841	CONTINUA	0.787273213445519	-0.025	2.075	
56349330	CONTINUA	0.786735445086586	-0.025	2.05	
47506271	CONTINUA	0.786275138472268	-0.025	2.025	
53079261	CONTINUA	0.785496024761643	-0.025	2	
31378470	BAJA+1	0.783980297498064	-0.025	1.975	
33658261	CONTINUA	0.779460922534001	-0.025	1.95	
48653260	CONTINUA	0.778115125239442	-0.025	1.925	
22442891	CONTINUA	0.776331678691134	-0.025	1.9	
28208630	CONTINUA	0.772577310237389	-0.025	1.875	
48260060	BAJA+1	0.772210781878602	-0.025	1.85	
54487371	CONTINUA	0.772032505363358	-0.025	1.825	
26293171	CONTINUA	0.771099691806066	-0.025	1.8	
14161040	CONTINUA	0.769822232477189	-0.025	1.775	
62330110	CONTINUA	0.767879322839569	-0.025	1.75	
45110500	CONTINUA	0.765287908557269	-0.025	1.725	
28477160	BAJA+1	0.763957657082267	-0.025	1.7	
12003650	CONTINUA	0.76293659741308	-0.025	1.675	
34960800	CONTINUA	0.762399542752982	-0.025	1.65	
38711000	CONTINUA	0.761960707910001	-0.025	1.625	
52860750	BAJA+2	0.760283472765101	0.975	2.6	
57244410	CONTINUA	0.758609389981184	-0.025	2.575	
51841491	CONTINUA	0.757230967737421	-0.025	2.55	
28817670	BAJA+1	0.756239403309316	-0.025	2.525	
12862200	CONTINUA	0.753433503868826	-0.025	2.5	
36620921	CONTINUA	0.752351626090873	-0.025	2.475	
49540241	BAJA+2	0.752118886517309	0.975	3.45	
61499040	CONTINUA	0.751925306236651	-0.025	3.425	
68402571	BAJA+1	0.744631252069351	-0.025	3.4	
31644681	BAJA+1	0.741124646110897	-0.025	3.375	
45353640	CONTINUA	0.73952435901971	-0.025	3.35	
29141930	CONTINUA	0.737736821414867	-0.025	3.325	
47702080	BAJA+2	0.737602901313671	0.975	4.3	
62287220	CONTINUA	0.737095152171305	-0.025	4.275	
57610331	CONTINUA	0.735685595050184	-0.025	4.25	
16547011	CONTINUA	0.730945227302494	-0.025	4.225	
57559780	BAJA+1	0.73006932526581	-0.025	4.2	
71360630	CONTINUA	0.727511455827965	-0.025	4.175	
62338021	CONTINUA	0.722799330071062	-0.025	4.15	
57835780	CONTINUA	0.720425434214609	-0.025	4.125	
16029171	CONTINUA	0.718882475972599	-0.025	4.1	
31822881	CONTINUA	0.717694002720086	-0.025	4.075	
22888491	CONTINUA	0.71733726738211	-0.025	4.05	
22336380	CONTINUA	0.715815669888144	-0.025	4.025	
13425160	BAJA+2	0.715617230698188	0.975	5	
69628331	BAJA+1	0.712944246033912	-0.025	4.975	
40756110	CONTINUA	0.709916735179097	-0.025	4.95	
63553741	BAJA+1	0.709063628522302	-0.025	4.925	
29079741	BAJA+2	0.705187745515099	0.975	5.9	
13190710	BAJA+1	0.697220819245206	-0.025	5.875	
29808320	BAJA+1	0.696741607850711	-0.025	5.85	
23617931	CONTINUA	0.693028681567963	-0.025	5.825	
20581950	CONTINUA	0.689147296082662	-0.025	5.8	
58710420	CONTINUA	0.688315363855554	-0.025	5.775	
58498201	CONTINUA	0.687365036822154	-0.025	5.75	
57957830	CONTINUA	0.684343337499804	-0.025	5.725	
36835941	CONTINUA	0.681471735917121	-0.025	5.7	
27680450	BAJA+2	0.681458381258222	0.975	6.675	
43248270	CONTINUA	0.680723797193903	-0.025	6.65	
33035260	CONTINUA	0.675115636400897	-0.025	6.625	
40653360	CONTINUA	0.671732999079123	-0.025	6.6	
54355610	BAJA+1	0.670365440554762	-0.025	6.575	
33285881	CONTINUA	0.66893291199243	-0.025	6.55	
40163421	CONTINUA	0.667200249735086	-0.025	6.525	
58189161	BAJA+2	0.664422035309253	0.975	7.5	
13214710	CONTINUA	0.65759633453778	-0.025	7.475	
21949571	CONTINUA	0.654290881226055	-0.025	7.45	
12700960	BAJA+2	0.652807900755629	0.975	8.425	
62385040	CONTINUA	0.650417914264808	-0.025	8.4	
57681201	CONTINUA	0.645960933240672	-0.025	8.375	
16042900	CONTINUA	0.645545078212078	-0.025	8.35	
38755130	CONTINUA	0.645350958818902	-0.025	8.325	
63265661	CONTINUA	0.644500793352618	-0.025	8.3	
24732370	CONTINUA	0.639730930526838	-0.025	8.275	
38087360	CONTINUA	0.63783553672626	-0.025	8.25	
39946840	CONTINUA	0.636703493044504	-0.025	8.225	
40338971	CONTINUA	0.635783414203432	-0.025	8.2	
20513550	BAJA+2	0.633633348199604	0.975	9.175	
34965070	CONTINUA	0.629639936155233	-0.025	9.15	
68884100	CONTINUA	0.627807176352052	-0.025	9.125	
20352101	BAJA+1	0.627649632609127	-0.025	9.1	
56938240	BAJA+2	0.626116132062766	0.975	10.075	
40412061	CONTINUA	0.625498876865542	-0.025	10.05	
51766690	BAJA+1	0.625039557431258	-0.025	10.025	
40580420	BAJA+2	0.623496327144434	0.975	11	
68510401	CONTINUA	0.621965265330042	-0.025	10.975	
24234961	CONTINUA	0.614723377739322	-0.025	10.95	
12804021	CONTINUA	0.614354806615597	-0.025	10.925	
61195500	CONTINUA	0.614315624737539	-0.025	10.9	
62336770	BAJA+1	0.614291714078832	-0.025	10.875	
70176400	CONTINUA	0.613849857319239	-0.025	10.85	
34376170	CONTINUA	0.608703381192465	-0.025	10.825	
68363630	CONTINUA	0.608427226919299	-0.025	10.8	
47265030	BAJA+1	0.607251800557111	-0.025	10.775	
27795351	CONTINUA	0.605617954443509	-0.025	10.75	
32183500	CONTINUA	0.602749072227745	-0.025	10.725	
45168300	BAJA+2	0.60265518303665	0.975	11.7	
67214530	CONTINUA	0.602353770899739	-0.025	11.675	
37819151	CONTINUA	0.602260364271829	-0.025	11.65	
68465140	BAJA+2	0.601770159964215	0.975	12.625	
15938421	CONTINUA	0.598598939647876	-0.025	12.6	
17522211	BAJA+1	0.596688992370419	-0.025	12.575	
44757460	CONTINUA	0.594342757157835	-0.025	12.55	
52638440	BAJA+1	0.59285912185001	-0.025	12.525	
60429920	BAJA+2	0.592324112532964	0.975	13.5	
50527780	CONTINUA	0.592313082200505	-0.025	13.475	
36035221	CONTINUA	0.591548481117249	-0.025	13.45	
44677190	CONTINUA	0.589235034547311	-0.025	13.425	
28818240	CONTINUA	0.589180693422106	-0.025	13.4	
25640240	BAJA+1	0.588855503123945	-0.025	13.375	
29338460	CONTINUA	0.58706683071967	-0.025	13.35	
56863330	BAJA+1	0.585958149667969	-0.025	13.325	
13011400	CONTINUA	0.585855693419867	-0.025	13.3	
20522100	CONTINUA	0.58539489732388	-0.025	13.275	
45692230	BAJA+2	0.585188218912298	0.975	14.25	
43237510	BAJA+1	0.583956595846941	-0.025	14.225	
61192251	CONTINUA	0.583662593116923	-0.025	14.2	
41151281	CONTINUA	0.582178461393506	-0.025	14.175	
63200950	CONTINUA	0.581688478998078	-0.025	14.15	
31654061	BAJA+1	0.580956103198047	-0.025	14.125	
41858531	BAJA+1	0.579347140062765	-0.025	14.1	
62661311	CONTINUA	0.578209823993344	-0.025	14.075	
16069851	BAJA+2	0.577128657432066	0.975	15.05	
36609891	BAJA+2	0.575968852196319	0.975	16.025	
31781921	CONTINUA	0.573223589308244	-0.025	16	
22720791	BAJA+1	0.569803790763262	-0.025	15.975	
21893291	CONTINUA	0.569096508358131	-0.025	15.95	
68953401	CONTINUA	0.567632192403376	-0.025	15.925	
43972990	CONTINUA	0.567332480555585	-0.025	15.9	
14228941	CONTINUA	0.565875374748608	-0.025	15.875	
42832420	CONTINUA	0.565476623681457	-0.025	15.85	
62912980	CONTINUA	0.56114260490048	-0.025	15.825	
55278850	CONTINUA	0.55938105246969	-0.025	15.8	
29788610	BAJA+2	0.558998011170553	0.975	16.775	
61157010	CONTINUA	0.551164007923237	-0.025	16.75	
35107861	BAJA+2	0.550930788483073	0.975	17.725	
71621030	CONTINUA	0.549736068349087	-0.025	17.7	
58719141	CONTINUA	0.545056311028154	-0.025	17.675	
41772201	CONTINUA	0.542374498812654	-0.025	17.65	
55138211	CONTINUA	0.542263751555325	-0.025	17.625	
58426901	BAJA+2	0.541716459892792	0.975	18.6	
49338560	BAJA+1	0.541137168618709	-0.025	18.575	
26631460	BAJA+2	0.54056176047729	0.975	19.55	
54668140	CONTINUA	0.540481260470737	-0.025	19.525	
68157911	CONTINUA	0.538926253924721	-0.025	19.5	
61869230	BAJA+2	0.53075229172555	0.975	20.475	
58247450	CONTINUA	0.529441819774597	-0.025	20.45	
57341900	BAJA+2	0.528666222534282	0.975	21.425	
14094341	BAJA+2	0.526856303583424	0.975	22.4	
33358110	BAJA+1	0.526273999363911	-0.025	22.375	
34922600	BAJA+1	0.524945111770575	-0.025	22.35	
28439541	CONTINUA	0.523945605302701	-0.025	22.325	
28227991	BAJA+1	0.522401572776719	-0.025	22.3	
47433830	CONTINUA	0.520028220068937	-0.025	22.275	
45275050	CONTINUA	0.51908938074882	-0.025	22.25	
39966201	BAJA+1	0.513763423754501	-0.025	22.225	
45500820	CONTINUA	0.512322847196732	-0.025	22.2	
28068530	CONTINUA	0.511100173232161	-0.025	22.175	
14254030	CONTINUA	0.511066128804011	-0.025	22.15	
27765090	CONTINUA	0.51092776943586	-0.025	22.125	
54170021	CONTINUA	0.508869405600806	-0.025	22.1	
43167170	CONTINUA	0.507676269995686	-0.025	22.075	
27980451	BAJA+2	0.507488321971268	0.975	23.05	
15558741	CONTINUA	0.507150532345229	-0.025	23.025	
39004180	CONTINUA	0.505845301683763	-0.025	23	23.1575
37323830	BAJA+1	0.505213940107135	-0.025	22.975	23.2825
28793830	CONTINUA	0.504965155895924	-0.025	22.95	23.4075
48868430	CONTINUA	0.502947799020818	-0.025	22.925	23.5325
37621200	BAJA+2	0.502452737756351	0.975	23.9	23.6575
65005991	CONTINUA	0.501891072460701	-0.025	23.875	23.78
55167390	CONTINUA	0.49957557199607	-0.025	23.85	23.9025
62968270	CONTINUA	0.496010242343066	-0.025	23.825	24.025
36930951	CONTINUA	0.495115906560069	-0.025	23.8	24.15
46542101	CONTINUA	0.493754124019538	-0.025	23.775	24.2725
34080250	CONTINUA	0.48975851425634	-0.025	23.75	24.395
23877201	CONTINUA	0.487579290588495	-0.025	23.725	24.5175
20416241	BAJA+2	0.484763038197909	0.975	24.7	24.64
29278700	CONTINUA	0.484292236634195	-0.025	24.675	24.765
54552140	CONTINUA	0.481992374826709	-0.025	24.65	24.89
