Feature	Gain	Cover	Frequency
ctrx_quarter	0.175097906253946	0.0459712673209319	0.00946811473127262
mcaja_ahorro	0.0579628609701917	0.0311359299055203	0.0101642996379838
mcuentas_saldo	0.0539905482916293	0.0411580054623501	0.01364522417154
cdescubierto_preacordado_delta2	0.0385991874959284	0.00345880339348321	0.00139236981342245
mtarjeta_visa_consumo	0.0307179710499158	0.0275130823976363	0.00946811473127262
ctrx_quarter_lag1	0.0237370301564795	0.00464543771779442	0.00549986076301866
foto_mes	0.022988826946338	0.0345932211041472	0.0293093845725425
cpayroll_trx	0.0186095604099449	0.0322212914068509	0.00786688944583681
mcuenta_corriente	0.0184047421963774	0.00851462001690212	0.0130186577554999
ctarjeta_visa_transacciones	0.017202778130914	0.0184063113871286	0.006265664160401
mpasivos_margen	0.0160520785231942	0.00962491937149348	0.00828460038986355
mprestamos_personales	0.0150097041904195	0.0176545570268447	0.0109301030353662
cdescubierto_preacordado	0.0123881234297136	0.0114651176778334	0.00445558340295182
ctarjeta_visa	0.0120678964722054	0.00520494244255556	0.00167084377610693
mcaja_ahorro_lag1	0.0101041131612797	0.00559365484881318	0.00556947925368978
cproductos	0.00972606755848741	0.02683229614367	0.00772765246449457
mpayroll_sobre_edad	0.00961518752804598	0.0225626835408077	0.00724032302979671
Visa_status	0.00823927940760911	0.00477401759146136	0.00201893622946255
mpayroll	0.00813482361441128	0.0163025774186403	0.0056390977443609
ctrx_quarter_delta2	0.00741814256170883	0.00611486169531271	0.00995544416597048
Master_status	0.00716385614751542	0.00391807475644471	0.00236702868281816
ctrx_quarter_delta1	0.00715673436590558	0.0175919276476779	0.0131578947368421
cprestamos_personales	0.00691352196267717	0.00131672915735886	0.00208855472013367
mcomisiones	0.00690312018631194	0.00140174934128986	0.00570871623503202
mcuentas_saldo_delta2	0.00666860473559259	0.00887982382902279	0.0119047619047619
Visa_mfinanciacion_limite	0.00653896091671363	0.00148521586249831	0.00466443887496519
Visa_msaldototal	0.00643077227708359	0.0054366501350871	0.00424672793093846
ccomisiones_mantenimiento_delta2	0.00578584222195612	0.00386377949688807	0.00522138680033417
Visa_mpagominimo	0.00544385687232564	0.0178303365473971	0.00912002227791701
ctarjeta_visa_delta2	0.00527149447589764	0.00220897757004036	0.000905040378724589
mprestamos_personales_delta1	0.00495634693270163	0.00508212475928249	0.00473405736563631
mactivos_margen	0.00494502010410978	0.00972445607313995	0.00946811473127262
cprestamos_personales_delta2	0.00484226667915173	0.0116495796480725	0.00368978000556948
mcuentas_saldo_lag1	0.0043963333215231	0.00574608796066111	0.00828460038986355
mcomisiones_lag2	0.00404238928090567	0.00155120137430775	0.00737956001113896
Visa_mpagominimo_delta1	0.00399887924832467	0.00387597289258484	0.00473405736563631
Visa_status_delta2	0.00397311929279623	0.00171625730464527	0.000696184906711222
mrentabilidad_annual	0.00397178040128068	0.00270869761126015	0.00765803397382345
Visa_cconsumos	0.00382885971051148	0.00237880322650594	0.00522138680033417
cproductos_delta1	0.00371931216276004	0.0058775005503477	0.00355054302422723
cproductos_delta2	0.00363013635349194	0.0156509670338665	0.00494291283764968
ctarjeta_master	0.00361316582442328	0.000275371512687218	0.000556947925368978
mrentabilidad_annual_lag2	0.00355173824393053	0.00378731920206131	0.00765803397382345
Master_fechaalta	0.00351912127888774	0.00150520060951129	0.00640490114174325
mrentabilidad_annual_lag1	0.00347524815727769	0.00253537390989849	0.00633528265107213
mprestamos_personales_delta2	0.00342715985478226	0.0160799511888197	0.0068922305764411
mrentabilidad_annual_delta1	0.0033624003866949	0.00862592069145253	0.0081453634085213
cliente_edad	0.00334967962604793	0.0042589470676602	0.00856307435254804
kmes_lag1	0.0033212420822972	0.00215081566233199	0.00271512113617377
Visa_Fvencimiento	0.0033118657366052	0.00163250880194625	0.00605680868838764
mcuenta_corriente_delta2	0.00330202193498335	0.00700725754929647	0.006265664160401
mactivos_margen_lag1	0.00327078352299312	0.00722728604767288	0.00821498189919243
mttarjeta_visa_debitos_automaticos_delta2	0.00324475580851428	0.00447267982243017	0.00703146755778335
mprestamos_personales_lag1	0.00322940755306597	0.00154896118802156	0.00299359509885826
mcuenta_corriente_lag1	0.0031252858883879	0.00522395499848177	0.00647451963241437
mtransferencias_recibidas	0.00311091055046131	0.0117032888284527	0.00675299359509886
mtarjeta_master_consumo	0.00304997594969821	0.00665209725438401	0.00389863547758285
mcuenta_corriente_lag2	0.00297923855456906	0.0125712951265185	0.00619604566972988
ctrx_quarter_lag2	0.00295951204595418	0.00188043411621808	0.00473405736563631
numero_de_cliente	0.00290295525170717	0.00160139131510463	0.00772765246449457
cliente_antiguedad	0.00289939102384005	0.00727494829164417	0.0075187969924812
cliente_edad_lag2	0.00287197891524827	0.00304218403474064	0.00765803397382345
chomebanking_transacciones	0.00281872097568517	0.00193259331990825	0.00570871623503202
Visa_fechaalta_lag1	0.0027485220673688	0.00306145645596208	0.00605680868838764
mrentabilidad_annual_delta2	0.00258895515102185	0.00221109150971148	0.00487329434697856
mcaja_ahorro_delta2	0.00255005288458882	0.00181430300612266	0.00584795321637427
Visa_mpagominimo_lag1	0.00251602408558603	0.0029723844007434	0.00424672793093846
mcuentas_saldo_delta1	0.00249516962559517	0.00878152655582343	0.00633528265107213
cliente_edad_lag1	0.0024851553585694	0.00394327155349252	0.00654413812308549
chomebanking_transacciones_delta2	0.00247025933192233	0.00219054003519295	0.00591757170704539
mprestamos_personales_lag2	0.00246605700905964	0.00134423248927887	0.00271512113617377
ccallcenter_transacciones	0.00242976822208712	0.0080621189742387	0.00487329434697856
Visa_Fvencimiento_lag2	0.00241492500913541	0.00102221607760595	0.006265664160401
mactivos_margen_lag2	0.00240639011769599	0.0106475860665795	0.0056390977443609
internet	0.00239520841526396	0.00662627198878532	0.00396825396825397
Master_Fvencimiento	0.002386688483091	0.00288053860602598	0.00543024227234754
Visa_mpagominimo_delta2	0.00238193033286763	0.00123824246613418	0.00452520189362295
mcomisiones_mantenimiento	0.00237986448213625	0.00434119535510874	0.00556947925368978
chomebanking_transacciones_lag1	0.00236788294981561	0.00065656349102153	0.00536062378167641
mttarjeta_visa_debitos_automaticos_lag2	0.00235945366910564	0.00233876461936954	0.0050125313283208
chomebanking_transacciones_lag2	0.00232298414376822	0.000877823124271795	0.00522138680033417
Master_mfinanciacion_limite	0.00231461847903062	0.000614633949183673	0.00508214981899192
Visa_mconsumototal	0.00228064122362098	0.0010938605708977	0.00417710944026734
Master_Fvencimiento_lag1	0.00221961455646771	0.00158272524623872	0.00605680868838764
Visa_fechaalta	0.00221399064574702	0.00282251861057104	0.0050125313283208
mtarjeta_visa_consumo_lag1	0.00220019434498543	0.000780307289974403	0.00320245057087162
Master_Fvencimiento_lag2	0.00219818925217604	0.00152217847546633	0.00529100529100529
ccallcenter_transacciones_delta2	0.00219024613929534	0.00426340993157793	0.00543024227234754
mrentabilidad_lag1	0.00217505257806748	0.000657802919468639	0.00306321358952938
cliente_antiguedad_lag1	0.00217209960451414	0.00403354525532461	0.00549986076301866
ctarjeta_visa_transacciones_delta1	0.00216299746376556	0.00764196471027448	0.00445558340295182
ccomisiones_mantenimiento_delta1	0.00213762157894465	0.00512333552477184	0.00341130604288499
Visa_fechaalta_lag2	0.00213689435955652	0.00164889505967599	0.00522138680033417
chomebanking_transacciones_delta1	0.00213550964631598	0.00606362399976166	0.00619604566972988
mpayroll_delta2	0.00213086520548592	0.00357708817821997	0.00355054302422723
ccomisiones_otras_lag2	0.00209508077405261	0.0236598016429771	0.00619604566972988
mrentabilidad	0.00207275024958445	0.00589634723480887	0.00508214981899192
Visa_fultimo_cierre	0.002056395103623	0.00133807220736889	0.00389863547758285
Visa_Fvencimiento_lag1	0.00202971802663737	0.00166862915647513	0.0050125313283208
internet_lag1	0.00201245683576605	0.0126610721354636	0.00382901698691172
Master_fechaalta_lag2	0.00196816033948818	0.000824809682536668	0.00494291283764968
Visa_cconsumos_delta2	0.00196800985864919	0.00700491231108242	0.00424672793093846
Master_mfinanciacion_limite_lag2	0.00193924127896866	0.00496324928782856	0.00417710944026734
cliente_antiguedad_lag2	0.00193777204305303	0.00175007849636706	0.00473405736563631
mtransferencias_recibidas_lag1	0.00192157681590506	0.00985059395023825	0.00494291283764968
mactivos_margen_delta2	0.0019203707667	0.00134732783511816	0.00515176830966305
mactivos_margen_delta1	0.00189988863954468	0.000286859033149422	0.0031328320802005
thomebanking	0.00189619476064306	0.00219335155652539	0.00306321358952938
mttarjeta_visa_debitos_automaticos	0.00189159839850066	0.00227008369625319	0.0050125313283208
mcuentas_saldo_lag2	0.00187908758600627	0.0014923990184427	0.00543024227234754
mcaja_ahorro_lag2	0.00187025917535462	0.00332457375341535	0.00473405736563631
mpasivos_margen_lag1	0.00183752277071972	0.0013026134956839	0.00341130604288499
Master_msaldototal	0.00181603088026204	0.00653983728986078	0.00473405736563631
Visa_fultimo_cierre_lag1	0.00181394710455631	0.00099788181217635	0.00431634642160958
Master_fechaalta_lag1	0.00181116538525444	0.00158394900904747	0.00459482038429407
mttarjeta_visa_debitos_automaticos_lag1	0.00178608086649569	0.00292132271324691	0.00473405736563631
mpasivos_margen_lag2	0.00178578709992753	0.00170138692780438	0.00515176830966305
Visa_msaldototal_lag2	0.00178332271457484	0.00128244721156751	0.00368978000556948
ctarjeta_visa_transacciones_lag1	0.00175925682163794	0.000142006247253848	0.00215817321080479
ctarjeta_visa_transacciones_delta2	0.00174167565023714	0.00630108190308128	0.00348092453355611
Visa_mpagominimo_lag2	0.00174142170284732	0.00175615492103638	0.00396825396825397
Visa_mlimitecompra_delta2	0.0017394678460382	0.000573686735022113	0.00341130604288499
Visa_cconsumos_lag1	0.00173665864587689	0.000396956218070146	0.00410749094959621
mrentabilidad_delta2	0.0017241662248727	0.00076809085657416	0.0043859649122807
mtarjeta_visa_consumo_delta2	0.0016760664139183	0.00193465104758289	0.00271512113617377
mpasivos_margen_delta1	0.00167461714077977	0.00290978819586961	0.00403787245892509
mpayroll_delta1	0.00164821826039584	0.00497460687564315	0.00362016151489836
mtransferencias_recibidas_lag2	0.00164410998917896	0.00267754326409296	0.00410749094959621
mrentabilidad_lag2	0.00163325540855748	0.00163047871951579	0.00389863547758285
ccomisiones_mantenimiento	0.00159171506292436	0.00440365701979421	0.00306321358952938
Visa_mconsumototal_lag2	0.00157520647618339	0.000594185683576719	0.00424672793093846
mttarjeta_visa_debitos_automaticos_delta1	0.00156817767348923	0.00145217887420291	0.00417710944026734
Visa_mlimitecompra	0.00154683156731196	0.000626105804007512	0.00341130604288499
cproductos_lag1	0.00154517706116319	0.00289572598166672	0.0037593984962406
Visa_mfinanciacion_limite_delta2	0.00154420634549373	0.000498028152276382	0.0037593984962406
mcuenta_corriente_delta1	0.00152089311372002	0.00103674549643537	0.00396825396825397
mpasivos_margen_delta2	0.00151705797856134	0.000980999783067769	0.00424672793093846
mcomisiones_mantenimiento_delta1	0.00148687142331656	0.00174522952053904	0.00341130604288499
mcomisiones_lag1	0.00147539848619016	0.0014667405458172	0.00410749094959621
Visa_cconsumos_delta1	0.00145054821093479	0.00122399687181161	0.00362016151489836
ccallcenter_transacciones_delta1	0.00144234876105218	0.00124681802087679	0.00271512113617377
mcomisiones_mantenimiento_lag2	0.00142109207083986	0.00215866046112028	0.0037593984962406
Master_mfinanciacion_limite_lag1	0.00140873383337923	0.00057038036381897	0.00334168755221387
Visa_msaldototal_delta2	0.00139902784105188	0.00174608836612469	0.0037593984962406
Visa_mfinanciacion_limite_lag1	0.0013947483181468	0.000979971379984517	0.00368978000556948
Visa_mconsumototal_lag1	0.00136711269463454	0.000926448344248459	0.0037593984962406
mcomisiones_mantenimiento_delta2	0.00136689092786685	0.000997706725629918	0.00327206906154275
mpayroll_sobre_edad_lag2	0.00135970994936884	0.00114092199156228	0.0025062656641604
Visa_mconsumototal_delta2	0.0013454218415754	0.000814633468156425	0.0037593984962406
ccomisiones_otras_delta2	0.00131705939854574	0.00138007639136602	0.00334168755221387
Master_mpagominimo	0.00131056064500751	0.00526072409474058	0.0025062656641604
Visa_msaldototal_lag1	0.00130785880693253	0.000701333120944137	0.00278473962684489
mcomisiones_delta2	0.00130374314515618	0.00048425897766173	0.00368978000556948
Master_fultimo_cierre	0.00130298275123647	0.00382668510825615	0.00389863547758285
Master_mpagominimo_delta1	0.00129906628275625	0.00151812107512981	0.00215817321080479
Master_fultimo_cierre_lag2	0.00129571289698347	0.00344685143291889	0.00355054302422723
mtarjeta_visa_consumo_lag2	0.00129238304206506	0.000605799450653981	0.00236702868281816
mpayroll_lag1	0.00128291435058602	0.00262482562647049	0.00306321358952938
Master_mfinanciacion_limite_delta2	0.00127193296608653	0.000330499815601614	0.00327206906154275
ccomisiones_otras_delta1	0.00125374478194944	0.00482341779978302	0.00348092453355611
Master_fultimo_cierre_delta2	0.00125192119456464	9.47835626649171e-05	0.000765803397382345
mcaja_ahorro_delta1	0.00124996764727085	0.00066275602571638	0.00368978000556948
mpayroll_lag2	0.00123556396466151	0.0018681909590818	0.00181008075744918
cprestamos_personales_delta1	0.00123336063978371	0.000548445705583623	0.000905040378724589
ctarjeta_master_delta2	0.00121843047160998	0.000128238915655475	0.000487329434697856
ctarjeta_visa_delta1	0.0012111814305002	0.000725150420307695	0.000208855472013367
ccomisiones_otras_lag1	0.00119265151837706	0.00121790385999578	0.0031328320802005
mcomisiones_mantenimiento_lag1	0.0011891722418926	0.00217015535364759	0.00306321358952938
Visa_fultimo_cierre_lag2	0.00118784764639638	0.00765850209533903	0.0037593984962406
Master_mlimitecompra_delta2	0.00118105454570845	0.000707227087001915	0.00278473962684489
Master_fultimo_cierre_lag1	0.00117090383817646	0.000235540244882126	0.00271512113617377
Visa_mfinanciacion_limite_lag2	0.00116468620144971	0.000657776195732605	0.00292397660818713
Master_mlimitecompra	0.00116258791440963	0.00105347639820914	0.00327206906154275
mrentabilidad_delta1	0.00115898682986797	0.000345990367420131	0.00299359509885826
ccomisiones_otras	0.00115220433792988	0.00156395873298565	0.00292397660818713
Master_mlimitecompra_lag2	0.00113689904871943	0.00150304335895762	0.00285435811751601
Master_mpagominimo_delta2	0.00112134335328205	0.00263538518823661	0.00278473962684489
Master_mconsumototal	0.00109976739577122	0.00115329139531362	0.00285435811751601
cproductos_lag2	0.00109459498780446	0.000753507068764532	0.00257588415483152
Visa_cconsumos_lag2	0.00105850016120439	0.000740705477695951	0.00257588415483152
Visa_status_delta1	0.00105844980376624	0.00116105510138566	0.000696184906711222
Master_mlimitecompra_lag1	0.001054069667875	0.000369781864555794	0.00215817321080479
Visa_status_lag2	0.00103873057484923	0.00163921553818273	0.00118351434140908
Master_mfinanciacion_limite_delta1	0.00103772022840206	0.000369365342876914	0.00236702868281816
Master_mlimitecompra_delta1	0.00102837712004185	0.000325269335403999	0.00292397660818713
ctarjeta_visa_transacciones_lag2	0.00100009671587488	0.000319908922558769	0.00271512113617377
mtransferencias_recibidas_delta1	0.00098822418165014	0.000307557948970215	0.00264550264550265
mcomisiones_delta1	0.000985037024189539	0.000279077818422737	0.00271512113617377
mtransferencias_recibidas_delta2	0.000984815626533291	0.000261923022904979	0.00278473962684489
Visa_mlimitecompra_lag1	0.000954273308096254	0.00106348121207551	0.0025062656641604
Visa_fechaalta_delta2	0.000939939347177719	0.000634673065176861	0.00104427736006683
Visa_msaldototal_delta1	0.000922212043532091	0.00071828610617943	0.00229741019214703
ctarjeta_master_transacciones	0.000915280124260576	0.00059336185530035	0.00167084377610693
Master_msaldototal_lag2	0.000908890645651821	0.0142173141592923	0.00299359509885826
mpayroll_sobre_edad_delta1	0.000907958327184518	0.00318575223829028	0.0025062656641604
thomebanking_delta2	0.000887594905243335	0.000561466615589314	0.00160122528543581
kmes_lag2	0.000884661454224808	0.000608290287154008	0.00194931773879142
Visa_mlimitecompra_lag2	0.000880489262646769	0.000826020544231465	0.00243664717348928
Visa_Fvencimiento_delta2	0.000880220109275378	0.000538954171750742	0.00139236981342245
Visa_mconsumototal_delta1	0.000871083905820803	0.000233656682245775	0.00236702868281816
mtarjeta_visa_consumo_delta1	0.000864373024065554	0.000613685717308524	0.00194931773879142
Visa_mfinanciacion_limite_delta1	0.000861418803479463	0.000281568654922764	0.0025062656641604
cdescubierto_preacordado_delta1	0.000860561929211932	0.00127626389195406	0.000905040378724589
Master_mconsumototal_delta2	0.000824325039564347	0.0024800336601121	0.00243664717348928
Visa_mlimitecompra_delta1	0.000805643543753622	0.000230969564512117	0.00222779170147591
Master_msaldototal_lag1	0.000782978171126563	0.00345390373470754	0.00229741019214703
internet_lag2	0.000782395278797626	0.000790851186102153	0.00153160679476469
Master_msaldototal_delta1	0.000774933835200514	0.00169694525857385	0.00174046226677806
Visa_status_lag1	0.000770816251609563	0.00252771156972175	0.000696184906711222
Master_mconsumototal_lag2	0.000768091933622509	0.000643150940056716	0.00215817321080479
cprestamos_personales_lag2	0.000760210921178494	0.000162507960332871	0.000835421888053467
Master_mpagominimo_lag1	0.000692172297807932	0.00195033327309435	0.0018796992481203
Master_msaldototal_delta2	0.000661959051192069	0.00266057829925186	0.00215817321080479
Master_cconsumos	0.000638613348505452	0.000581114090623377	0.00160122528543581
mpayroll_sobre_edad_delta2	0.000638299203909813	0.0020184511547377	0.00181008075744918
mtarjeta_master_consumo_lag1	0.00062197723183913	0.000376685803534041	0.00167084377610693
Master_mpagominimo_lag2	0.000607471803276574	0.00130068385764059	0.00146198830409357
Master_mconsumototal_lag1	0.000603687973967387	0.000379803265568666	0.00181008075744918
mpayroll_sobre_edad_lag1	0.000568203034174479	0.000222405067867185	0.00132275132275132
Master_status_lag2	0.000564843989333756	0.00579624380565685	0.00153160679476469
Master_cconsumos_lag2	0.0005606407622762	0.00113413508411771	0.00139236981342245
kmes	0.000560467099188086	0.00027759695484318	0.00167084377610693
Master_status_lag1	0.000531940912299477	0.000682072679328502	0.000348092453355611
Master_mconsumototal_delta1	0.000531581851455353	0.000581597882396413	0.00167084377610693
cpayroll_trx_delta1	0.000516492656487461	0.000432752201734055	0.0012531328320802
ccomisiones_mantenimiento_lag1	0.000508624919238956	0.00109130522882793	0.00160122528543581
cdescubierto_preacordado_lag2	0.000506458482435795	0.000455457240773702	0.0012531328320802
ccallcenter_transacciones_lag2	0.000503303789479909	0.000467577837327477	0.00153160679476469
Master_cconsumos_delta1	0.000501981542583403	0.000524104989597049	0.00167084377610693
Master_fechaalta_delta2	0.00049682778051178	0.000640415903899823	0.0012531328320802
mtarjeta_master_consumo_delta1	0.000465688904932665	0.00128910050033192	0.00104427736006683
ctarjeta_master_transacciones_delta2	0.000453094095234324	0.00160681070447076	0.00132275132275132
cpayroll_trx_delta2	0.000444671479036476	0.000566135897330208	0.00139236981342245
Master_cconsumos_lag1	0.000427857636492915	0.000880494576367089	0.00139236981342245
thomebanking_lag1	0.000413384431487328	5.37985666696533e-05	0.000765803397382345
mtarjeta_master_consumo_delta2	0.000407869047860958	0.00100714941953143	0.00111389585073796
Master_cconsumos_delta2	0.000399464437380595	0.000603215541831903	0.0012531328320802
ctarjeta_master_transacciones_lag1	0.000397919644481136	0.000689742391570353	0.00111389585073796
cprestamos_personales_lag1	0.000394365182046741	3.05756400558246e-05	0.000487329434697856
Master_fultimo_cierre_delta1	0.00039259788415671	5.11243500499425e-05	0.000835421888053467
thomebanking_delta1	0.000367867904626933	0.000565903677279151	0.00104427736006683
ctarjeta_master_transacciones_delta1	0.000352682049882048	0.00180328269028698	0.00132275132275132
ctarjeta_master_transacciones_lag2	0.000345313863315832	6.52943807051087e-05	0.000765803397382345
ccomisiones_mantenimiento_lag2	0.000335113771748948	0.000413191348465068	0.00111389585073796
Visa_fultimo_cierre_delta2	0.000331313759850836	0.000176252254227766	0.00104427736006683
mtarjeta_master_consumo_lag2	0.000308818643080064	6.72747016960661e-05	0.000905040378724589
cpayroll_trx_lag1	0.000259104396996897	0.000450307853292329	0.000696184906711222
thomebanking_lag2	0.000257286607737657	8.94664607022255e-05	0.0006265664160401
Master_Fvencimiento_delta2	0.000250920255626813	8.78575074913313e-05	0.000556947925368978
Visa_fultimo_cierre_delta1	0.000250378510252097	1.51514368233233e-05	0.000696184906711222
ccallcenter_transacciones_lag1	0.000246520730491002	0.00055588135475814	0.000974658869395711
cpayroll_trx_lag2	0.000226179811531354	0.000270991584502006	0.000765803397382345
Master_status_delta2	0.000169730074341078	0.000554283459644915	0.000278473962684489
internet_delta2	0.000159698940973071	8.11148324374293e-05	0.000348092453355611
cliente_edad_delta2	0.000155715380080246	1.25951732454192e-05	0.000487329434697856
ctarjeta_master_lag2	0.00014996943893836	0.000439093099239303	0.0006265664160401
ctarjeta_master_lag1	0.000129713404075426	0.000486980191196536	0.000556947925368978
Visa_Fvencimiento_delta1	0.000114228792068101	0.000100849850744709	0.000348092453355611
ctarjeta_visa_lag2	0.000106984628868541	3.31097874383899e-06	0.000139236981342245
cdescubierto_preacordado_lag1	0.000105555554969132	3.10105918974867e-05	0.000278473962684489
Master_status_delta1	0.000102414675496274	2.46595578027084e-06	6.96184906711222e-05
internet_delta1	9.49414876189871e-05	2.09901123927538e-05	0.000208855472013367
ctarjeta_master_delta1	8.49619497504209e-05	1.76422733233503e-05	0.000139236981342245
Master_Fvencimiento_delta1	8.3255187418363e-05	8.36913691943939e-06	0.000278473962684489
Master_fechaalta_delta1	3.40873800644169e-05	1.12525358867292e-05	0.000139236981342245
Visa_fechaalta_delta1	2.32745884972741e-05	1.10442750472893e-05	6.96184906711222e-05
ctarjeta_visa_lag1	1.59078610747241e-05	4.76696160364016e-06	6.96184906711222e-05
kmes_delta1	1.52195361638833e-05	3.11285449392934e-06	6.96184906711222e-05
