num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.928744574180203	369
64	64	0.8	0.928304901307881	225
64	256	0.5	0.928860714184212	195
64	256	0.8	0.926975244205098	228
64	512	0.5	0.930221518622727	270
64	512	0.8	0.928676249753241	234
64	1024	0.5	0.930722065141331	253
64	1024	0.8	0.929577410154723	186
64	2048	0.5	0.930020347544353	285
64	2048	0.8	0.930903917958455	345
128	64	0.5	0.928104306320797	255
128	64	0.8	0.924932270867371	208
128	256	0.5	0.926455302613073	140
128	256	0.8	0.928366735106312	204
128	512	0.5	0.929151525067268	187
128	512	0.8	0.928646753879207	170
128	1024	0.5	0.930273405244889	203
128	1024	0.8	0.930121585987002	199
128	2048	0.5	0.931514267476881	209
128	2048	0.8	0.930688767064784	219
256	64	0.5	0.924643341882528	321
256	64	0.8	0.924292694317512	256
256	256	0.5	0.929715095972968	127
256	256	0.8	0.926468015027533	149
256	512	0.5	0.92978399649122	163
256	512	0.8	0.928004719339846	173
256	1024	0.5	0.929844370858384	186
256	1024	0.8	0.929742594730531	174
256	2048	0.5	0.931565962068613	209
256	2048	0.8	0.929051131558511	168
384	64	0.5	0.927256645597088	286
384	64	0.8	0.925754660386503	249
384	256	0.5	0.924960576152739	140
384	256	0.8	0.928554079993732	162
384	512	0.5	0.927703308377059	194
384	512	0.8	0.927218854008482	151
384	1024	0.5	0.926962454978466	179
384	1024	0.8	0.928202126621793	161
384	2048	0.5	0.93206293682122	210
384	2048	0.8	0.930257466719206	186
512	64	0.5	0.927119919930992	278
512	64	0.8	0.92516827626573	168
512	256	0.5	0.925726393507221	144
512	256	0.8	0.926861523784505	288
512	512	0.5	0.927414033737442	321
512	512	0.8	0.928520897135444	152
512	1024	0.5	0.926168831617733	169
512	1024	0.8	0.927250423811159	145
512	2048	0.5	0.93206293682122	210
512	2048	0.8	0.930257466719206	186
