numero_de_cliente	clase_ternaria	prob	ganancia	gan_acum	gan_suavizada
56899880	CONTINUA	0.924295463797573	-0.025	-0.025	
29291461	CONTINUA	0.916532596573193	-0.025	-0.05	
47193420	CONTINUA	0.915844688184394	-0.025	-0.075	
42587401	CONTINUA	0.915238687567862	-0.025	-0.1	
68143260	CONTINUA	0.914286395859733	-0.025	-0.125	
49267841	BAJA+2	0.91412348561612	0.975	0.85	
62098590	CONTINUA	0.912942269491056	-0.025	0.825	
56758691	CONTINUA	0.912339212364232	-0.025	0.8	
54610271	CONTINUA	0.90854758656214	-0.025	0.775	
28817670	BAJA+1	0.908262240870752	-0.025	0.75	
41865120	CONTINUA	0.906489413707111	-0.025	0.725	
31644681	BAJA+1	0.897939887772271	-0.025	0.7	
27013600	CONTINUA	0.888671047282677	-0.025	0.675	
61662470	CONTINUA	0.885627319393082	-0.025	0.65	
34297341	CONTINUA	0.87846305300416	-0.025	0.625	
28477160	BAJA+1	0.873807931576408	-0.025	0.6	
29690021	CONTINUA	0.864406523134174	-0.025	0.575	
40412061	CONTINUA	0.862216517439084	-0.025	0.55	
22442891	CONTINUA	0.859865500112656	-0.025	0.525	
12624051	CONTINUA	0.858593942384053	-0.025	0.5	
40480351	CONTINUA	0.856610590293775	-0.025	0.475	
30066770	CONTINUA	0.856391604084589	-0.025	0.45	
30501220	CONTINUA	0.853369969097833	-0.025	0.425	
57957830	CONTINUA	0.846698125697443	-0.025	0.4	
52076901	CONTINUA	0.844273559452786	-0.025	0.375	
48743620	CONTINUA	0.843184806299993	-0.025	0.35	
40138991	BAJA+2	0.841453167503868	0.975	1.325	
38470620	CONTINUA	0.837832766207617	-0.025	1.3	
14228941	CONTINUA	0.834424749640766	-0.025	1.275	
29086750	CONTINUA	0.833645584189246	-0.025	1.25	
67214530	CONTINUA	0.831233919001189	-0.025	1.225	
56349330	CONTINUA	0.825019406352626	-0.025	1.2	
27980451	BAJA+2	0.822512124764747	0.975	2.175	
54487371	CONTINUA	0.821850741388042	-0.025	2.15	
45275050	CONTINUA	0.820829168365719	-0.025	2.125	
23617931	CONTINUA	0.818545144527454	-0.025	2.1	
68402571	BAJA+1	0.818402109782933	-0.025	2.075	
