num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.924550898433569	276
64	64	0.8	0.925523801403666	209
64	256	0.5	0.926573324515296	247
64	256	0.8	0.925544463877924	248
64	512	0.5	0.926389628206044	232
64	512	0.8	0.926540948184813	172
64	1024	0.5	0.927719976618375	311
64	1024	0.8	0.927564201533632	210
64	2048	0.5	0.926508456636072	187
64	2048	0.8	0.927727196962539	191
128	64	0.5	0.923586406396303	258
128	64	0.8	0.924526126508111	246
128	256	0.5	0.924421969202928	173
128	256	0.8	0.925625769561948	160
128	512	0.5	0.924855612319751	140
128	512	0.8	0.92779095106527	166
128	1024	0.5	0.925099298935307	150
128	1024	0.8	0.926382983953169	165
128	2048	0.5	0.925778702596328	209
128	2048	0.8	0.92654375182909	209
256	64	0.5	0.924794124176093	259
256	64	0.8	0.923807855888075	247
256	256	0.5	0.922303182251472	133
256	256	0.8	0.924247836009085	174
256	512	0.5	0.923859243231119	127
256	512	0.8	0.924232550386865	200
256	1024	0.5	0.925719249975228	189
256	1024	0.8	0.926186191168597	210
256	2048	0.5	0.926531461881576	260
256	2048	0.8	0.925738145769531	197
384	64	0.5	0.922873666252649	245
384	64	0.8	0.924582045769301	384
384	256	0.5	0.923558984450912	276
384	256	0.8	0.92475487315622	174
384	512	0.5	0.921822952552353	242
384	512	0.8	0.924504926348649	153
384	1024	0.5	0.923409815212958	160
384	1024	0.8	0.924187308017578	147
384	2048	0.5	0.926531461881576	260
384	2048	0.8	0.925738145769531	197
512	64	0.5	0.923588787573634	252
512	64	0.8	0.923447606801564	240
512	256	0.5	0.921880638493498	307
512	256	0.8	0.92302467898273	359
512	512	0.5	0.922684861933961	179
512	512	0.8	0.923845493852338	165
512	1024	0.5	0.923409815212958	160
512	1024	0.8	0.924940604988029	183
512	2048	0.5	0.926531461881576	260
512	2048	0.8	0.925738145769531	197
