Feature	Gain	Cover	Frequency
ctrx_quarter	0.117975093414394	0.0397915643686239	0.0103724658180104
mcaja_ahorro	0.0630464240567881	0.0250106839557259	0.00811985960500812
mtarjeta_visa_consumo	0.0476288780078721	0.0244640908149654	0.00796270103200796
mcuenta_corriente	0.0385534415493467	0.00898334809523208	0.0112106448740112
ctarjeta_visa_delta1	0.029644134824592	0.000617888855367676	0.00020954476400021
mcuentas_saldo	0.0251048582575027	0.029212502740731	0.0114201896380114
cdescubierto_preacordado	0.023284965528428	0.00633247361610031	0.00309078526900309
ctarjeta_visa_transacciones	0.0214765362702461	0.0159483023363692	0.00581486720100582
ctarjeta_visa	0.0204292109277865	0.00248501018442124	0.000628634292000629
cpayroll_trx	0.0182660425602439	0.0194665423357341	0.00508146052700508
mprestamos_personales	0.0167777774932454	0.0197544306757835	0.00916758342500917
mcaja_ahorro_lag1	0.0131385986293983	0.00847597343113144	0.00654827387500655
mpayroll	0.0114738734830929	0.0103509261278546	0.00492430195400493
ctrx_quarter_delta1	0.0104393655195145	0.0166006811293232	0.0101629210540102
mpasivos_margen	0.0101200612430402	0.00993162160468358	0.00817224579600817
foto_mes	0.00997970562898244	0.00956471845213994	0.0128870029860129
Visa_mfinanciacion_limite	0.0088947282873555	0.00352567291937517	0.00623395672900623
Visa_status	0.00870500293573117	0.0037982617498522	0.00157158573000157
ctrx_quarter_lag1	0.00853597118382497	0.00355135077972145	0.00681020483000681
ctrx_quarter_delta2	0.00814323647622272	0.0117295847477336	0.01000576248101
mpayroll_sobre_edad	0.00755195637961339	0.0210522935762266	0.0055005500550055
Visa_mpagominimo	0.00680458726389755	0.0120677512387006	0.00801508722300802
cproductos	0.00654746871195642	0.0237481431100804	0.00707213578500707
Visa_mpagominimo_delta1	0.00604095096630705	0.00519711352099838	0.00654827387500655
mcuentas_saldo_delta2	0.00570963755624396	0.00653062207737679	0.00764838388600765
mprestamos_personales_lag1	0.00569904174581772	0.00232450842285001	0.00403373670700403
Master_status	0.00569511539387825	0.00350845601802764	0.00115249620200115
Visa_msaldototal_lag1	0.00564188925028259	0.00168008427418952	0.00434805385300435
ctarjeta_visa_transacciones_lag1	0.00545953806744064	0.000632479524352644	0.00162397192100162
mcuenta_corriente_delta2	0.00544917401443071	0.00409670895287477	0.00607679815600608
mrentabilidad_annual_lag1	0.00517757952678308	0.00419047953697529	0.00901042485200901
mrentabilidad_annual_lag2	0.00492103643516087	0.00434697811032244	0.00738645293100739
mprestamos_personales_lag2	0.00485277405334775	0.00227575031673232	0.00267169574100267
ctrx_quarter_lag2	0.00455573837065118	0.00283226832640032	0.00492430195400493
numero_de_cliente	0.00446121087384526	0.00281676298889343	0.0102676934360103
Visa_msaldototal	0.00433746049261763	0.00568436217556446	0.00581486720100582
mcuentas_saldo_lag1	0.00427337066304599	0.00644171761786759	0.0064958876840065
mcomisiones_lag2	0.00416805364866012	0.00285034486206267	0.00822463198700823
cproductos_delta2	0.00416309873008638	0.0112359906490894	0.00434805385300435
mactivos_margen	0.00399609939567409	0.00349172561907083	0.00707213578500707
Master_Fvencimiento	0.00379307015290348	0.00548680147961975	0.00780554245900781
cliente_antiguedad	0.00378154550481727	0.00953412493641595	0.00838179056000838
ccomisiones_mantenimiento_delta2	0.00376570486027916	0.00410127238932707	0.00314317146000314
mprestamos_personales_delta2	0.00371811600059228	0.013435941251706	0.00518623290900519
cliente_edad_lag2	0.00368732177143288	0.00237454662462473	0.00722929435800723
mcuenta_corriente_lag1	0.0036490866811284	0.0106695851937748	0.00712452197600713
mrentabilidad_annual_delta1	0.00364652829769827	0.00490931323568036	0.00754361150400754
Visa_mconsumototal	0.00348136204619946	0.0019864211811412	0.0055005500550055
cliente_edad	0.00346988725187273	0.00279539540764681	0.00801508722300802
mcuenta_corriente_lag2	0.0034519482698699	0.00546359795722445	0.00607679815600608
Visa_Fvencimiento	0.0034483838931121	0.00234264879819259	0.00717690816700718
Visa_mfinanciacion_limite_delta1	0.00344542691753041	0.0017134966420009	0.00460998480800461
cliente_edad_lag1	0.00340401731030012	0.00264604357643299	0.00749122531300749
Master_fechaalta	0.00336960940194881	0.0109326685160024	0.00796270103200796
mrentabilidad_annual_delta2	0.00331123515061868	0.00226336101603114	0.0066006600660066
Visa_fechaalta_lag2	0.00329836976160395	0.00311658934914581	0.00701974959400702
mrentabilidad_annual	0.00329153785139948	0.00310450273658365	0.00696736340300697
Master_mfinanciacion_limite	0.00325343615118425	0.0019722894974434	0.00576248101000576
mrentabilidad	0.00321094192411906	0.000704539113754269	0.0053957776730054
mcuentas_saldo_delta1	0.00318749224925568	0.0130328046778953	0.00754361150400754
mcomisiones_lag1	0.00316973724977797	0.00117497922078946	0.00534339148200534
chomebanking_transacciones	0.00316922285669383	0.00147624637658358	0.00602441196500602
mrentabilidad_delta2	0.00314514784859552	0.000732321482179857	0.00450521242600451
chomebanking_transacciones_lag2	0.0031420092632184	0.00283983002645514	0.0055005500550055
mactivos_margen_delta2	0.00312607321487078	0.00286954959897047	0.00565770862800566
Visa_cconsumos	0.00312116850445261	0.00692242600726253	0.00534339148200534
Visa_mpagominimo_lag1	0.00309987457385607	0.00386709303266564	0.00518623290900519
Visa_Fvencimiento_lag2	0.00305296660981408	0.00141204787332337	0.00591963958300592
chomebanking_transacciones_delta2	0.00303561411004001	0.00374049454403309	0.00665304625700665
mactivos_margen_lag1	0.0030336670679042	0.00750072325404622	0.00722929435800723
chomebanking_transacciones_lag1	0.00299852951126674	0.00164866194330668	0.00529100529100529
internet	0.00299787104870254	0.00561645987016678	0.00371941956100372
mpasivos_margen_lag1	0.00298393575706032	0.00122050021484584	0.00591963958300592
mactivos_margen_lag2	0.00294965200840852	0.00871119843772767	0.0064958876840065
ccomisiones_otras_lag2	0.0029254274332848	0.0208162364524191	0.00696736340300697
mprestamos_personales_delta1	0.00291608042118216	0.00748425371723103	0.00413850908900414
mpayroll_lag1	0.00290477128193062	0.0034341444288717	0.00366703337000367
